 TITLE = "Observations"
 VARIABLES = "i" "time" "ave" "std" 
 ZONE T="Observed hospitalized"  F=POINT, I=   97, J=1, K=1
   90    8        6.0000        4.0000
   91    9        7.0000        4.0000
   92   10        8.0000        4.0000
   93   11       10.0000        4.0000
   94   12        9.0000        4.0000
   95   13       10.0000        4.0000
   96   14       13.0000        4.0000
   97   15       14.0000        4.0000
   98   16       17.0000        4.0000
   99   17       19.0000        4.0000
  100   18       25.0000        4.0000
  101   19       29.0000        4.0000
  102   20       35.0000        4.0000
  103   21       45.0000        4.0000
  104   22       67.0000        4.0000
  105   23       78.0000        4.0000
  106   24       94.0000        4.7000
  107   25      118.0000        5.9000
  108   26      146.0000        7.3000
  109   27      174.0000        8.7000
  110   28      224.0000       11.2000
  111   29      283.0000       14.1500
  112   30      357.0000       17.8500
  113   31      427.0000       21.3500
  114   32      481.0000       24.0500
  115   33      573.0000       28.6500
  116   34      653.0000       32.6500
  117   35      753.0000       37.6500
  118   36      836.0000       41.8000
  119   37      923.0000       46.1500
  120   38      989.0000       49.4500
  121   39     1037.0000       51.8500
  122   40     1126.0000       56.3000
  123   41     1190.0000       59.5000
  124   42     1207.0000       60.3500
  125   43     1250.0000       62.5000
  126   44     1279.0000       63.9500
  127   45     1281.0000       64.0500
  128   46     1302.0000       65.1000
  129   47     1310.0000       65.5000
  130   48     1313.0000       65.6500
  131   49     1286.0000       64.3000
  132   50     1281.0000       64.0500
  133   51     1285.0000       64.2500
  134   52     1252.0000       62.6000
  135   53     1233.0000       61.6500
  136   54     1220.0000       61.0000
  137   55     1193.0000       59.6500
  138   56     1169.0000       58.4500
  139   57     1137.0000       56.8500
  140   58     1107.0000       55.3500
  141   59     1060.0000       53.0000
  142   60     1030.0000       51.5000
  143   61     1010.0000       50.5000
  144   62      974.0000       48.7000
  145   63      918.0000       45.9000
  146   64      878.0000       43.9000
  147   65      860.0000       43.0000
  148   66      831.0000       41.5500
  149   67      807.0000       40.3500
  150   68      785.0000       39.2500
  151   69      762.0000       38.1000
  152   70      733.0000       36.6500
  153   71      709.0000       35.4500
  154   72      674.0000       33.7000
  155   73      633.0000       31.6500
  156   74      621.0000       31.0500
  157   75      611.0000       30.5500
  158   76      569.0000       28.4500
  159   77      542.0000       27.1000
  160   78      521.0000       26.0500
  161   79      490.0000       24.5000
  162   80      466.0000       23.3000
  163   81      449.0000       22.4500
  164   82      443.0000       22.1500
  165   83      403.0000       20.1500
  166   84      385.0000       19.2500
  167   85      363.0000       18.1500
  168   86      348.0000       17.4000
  169   87      333.0000       16.6500
  170   88      327.0000       16.3500
  171   89      320.0000       16.0000
  172   90      287.0000       14.3500
  173   91      275.0000       13.7500
  174   92      255.0000       12.7500
  175   93      242.0000       12.1000
  176   94      227.0000       11.3500
  177   95      229.0000       11.4500
  178   96      219.0000       10.9500
  179   97      198.0000        9.9000
  180   98      183.0000        9.1500
  181   99      177.0000        8.8500
  182  100      169.0000        8.4500
  183  101      161.0000        8.0500
  184  102      160.0000        8.0000
  185  103      160.0000        8.0000
  186  104      162.0000        8.1000
